name,wf,cent,top5,binder,kd
mythos_preview_multi_target_trem2_rank01,mythos_preview_multi,0.5722022471910112,0.8246800000000001,True,0.030545594000000002
mythos_preview_multi_target_trem2_rank02,mythos_preview_multi,0.5863146067415731,0.83002,True,1.4230010934
mythos_preview_multi_target_trem2_rank03,mythos_preview_multi,0.5296168539325844,0.77756,True,0.1893756128
mythos_preview_multi_target_trem2_rank04,mythos_preview_multi,0.5888033707865169,0.86814,True,0.5326363317
mythos_preview_multi_target_trem2_rank05,mythos_preview_multi,0.5905584269662921,0.87202,True,0.0462464567
mythos_preview_multi_target_trem2_rank06,mythos_preview_multi,0.6248662921348314,0.86638,False,
mythos_preview_multi_target_trem2_rank07,mythos_preview_multi,0.5316640449438202,0.77882,True,0.07320044540000001
mythos_preview_multi_target_trem2_rank08,mythos_preview_multi,0.5924988764044944,0.87042,True,0.3299883926
mythos_preview_multi_target_trem2_rank09,mythos_preview_multi,0.6230235955056181,0.8718599999999999,True,13.3342188576
mythos_preview_multi_target_trem2_rank10,mythos_preview_multi,0.5853202247191011,0.8612599999999999,True,0.23774616040000002
mythos_preview_multi_target_trem2_rank11,mythos_preview_multi,0.5068359550561797,0.7909400000000001,True,0.5109472977
mythos_preview_multi_target_trem2_rank12,mythos_preview_multi,0.5429123595505616,0.7324599999999999,True,0.5977727949
mythos_preview_multi_target_trem2_rank13,mythos_preview_multi,0.5355258426966292,0.7991800000000001,True,0.3902847404
mythos_preview_multi_target_trem2_rank14,mythos_preview_multi,0.5129146067415731,0.80684,True,4.1879556222
mythos_preview_multi_target_trem2_rank15,mythos_preview_multi,0.5867337078651685,0.8753599999999999,True,0.274915052
mythos_preview_multi_target_trem2_rank16,mythos_preview_multi,0.6013876404494383,0.9338599999999999,True,0.493
mythos_preview_multi_target_trem2_rank17,mythos_preview_multi,0.536452808988764,0.7909200000000001,True,3.5244975126
mythos_preview_multi_target_trem2_rank18,mythos_preview_multi,0.5442404494382022,0.7354799999999999,True,0.186061891
mythos_preview_multi_target_trem2_rank19,mythos_preview_multi,0.6221314606741573,0.84016,True,0.2358752814
mythos_preview_multi_target_trem2_rank20,mythos_preview_multi,0.5255561797752809,0.70314,True,11.5560764303
mythos_preview_multi_target_trem2_rank21,mythos_preview_multi,0.5588337078651685,0.74108,True,0.4442977041
mythos_preview_multi_target_trem2_rank22,mythos_preview_multi,0.5304269662921348,0.7455,True,1.3510462879
mythos_preview_multi_target_trem2_rank23,mythos_preview_multi,0.5236191011235956,0.75166,True,75.2725852484
mythos_preview_multi_target_trem2_rank24,mythos_preview_multi,0.5636,0.8161799999999999,True,389.2282433742
mythos_preview_multi_target_trem2_rank25,mythos_preview_multi,0.49604382022471916,0.7589400000000001,True,388.9966640336
mythos_preview_multi_target_trem2_rank26,mythos_preview_multi,0.5024943820224719,0.73748,False,
mythos_preview_multi_target_trem2_rank27,mythos_preview_multi,0.4610752808988764,0.6157,False,
mythos_preview_multi_target_trem2_rank28,mythos_preview_multi,0.512423595505618,0.6893799999999999,False,
mythos_preview_multi_target_trem2_rank29,mythos_preview_multi,0.5140629213483145,0.7474399999999999,False,
mythos_preview_multi_target_trem2_rank30,mythos_preview_multi,0.2907022471910113,0.46196000000000004,False,
mythos_preview_single_target_trem2_rank01,mythos_preview_single,0.6301112359550562,0.88638,True,29.3606876513
mythos_preview_single_target_trem2_rank02,mythos_preview_single,0.6236494382022473,0.87614,True,1.0959927019
mythos_preview_single_target_trem2_rank03,mythos_preview_single,0.6229404494382023,0.87264,True,1.0358491158
mythos_preview_single_target_trem2_rank04,mythos_preview_single,0.5939168539325842,0.8621800000000001,True,0.3570132026
mythos_preview_single_target_trem2_rank05,mythos_preview_single,0.5206179775280899,0.7963199999999999,True,0.18861413
mythos_preview_single_target_trem2_rank06,mythos_preview_single,0.5971146067415731,0.83628,True,1.1844373437
mythos_preview_single_target_trem2_rank07,mythos_preview_single,0.5160382022471911,0.7928999999999999,True,0.2141540411
